[I 161114 16:24:57 web:1971] 200 GET / (127.0.0.1) 88.09ms
[I 161114 16:30:32 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:25 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:27 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:30 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:33 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:39 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:43 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:45 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:50 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:54 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
[I 161114 16:36:56 autoreload:204] /home/yde/freeweb/web/home.py modified; restarting server
